timestamp,Clockspeed (GPU),GPU Usage,Temp (GPU),Temp (GPU Hotspot),Fan RPM,Fan,Power Draw,Power Cap,Clockspeed (VRAM),VRAM Size,VRAM Used,GPU Voltage,Clockspeed (SM),Clockspeed (Video)
1778922333119,2542,1,30,30,1100,29.80392156862745,20.08,145,13826,8151,805,930,2542,2115
1778922333624,2542,1,30,30,1100,29.80392156862745,20.083,145,13826,8151,805,930,2542,2115
1778922334129,2542,1,30,30,1100,29.80392156862745,20.111,145,13826,8151,805,930,2542,2115
1778922334634,2542,1,30,30,1101,29.80392156862745,20.107,145,13826,8151,805,930,2542,2115
1778922335138,2542,1,30,30,1099,29.80392156862745,20.095,145,13826,8151,805,930,2542,2115
1778922335643,2542,1,30,30,1100,29.80392156862745,20.133,145,13826,8151,805,930,2542,2115
1778922336147,2542,1,30,30,1099,29.80392156862745,20.125,145,13826,8151,805,930,2542,2115
1778922336651,2542,1,30,30,1100,29.80392156862745,20.129,145,13826,8151,805,930,2542,2115
1778922337154,2542,1,30,30,1100,29.80392156862745,20.134,145,13826,8151,805,930,2542,2115
1778922337658,2542,1,30,30,1100,29.80392156862745,20.136,145,13826,8151,805,930,2542,2115
1778922338163,2542,1,30,30,1099,29.80392156862745,20.119,145,13826,8151,805,930,2542,2115
1778922338666,2542,1,30,30,1099,29.80392156862745,20.108,145,13826,8151,805,930,2542,2115
1778922339171,2542,1,30,30,1099,29.80392156862745,20.144,145,13826,8151,805,930,2542,2115
1778922339676,2542,1,30,30,1100,29.80392156862745,20.14,145,13826,8151,805,930,2542,2115
1778922340181,2542,1,30,30,1100,29.80392156862745,20.116,145,13826,8151,805,930,2542,2115
1778922340686,2542,1,30,30,1100,29.80392156862745,20.116,145,13826,8151,805,930,2542,2115
1778922341190,2542,1,30,30,1100,29.80392156862745,20.124,145,13826,8151,805,930,2542,2115
1778922341693,2542,1,30,30,1100,29.80392156862745,20.156,145,13826,8151,805,930,2542,2115
1778922342198,2542,1,30,30,1100,29.80392156862745,20.162,145,13826,8151,805,930,2542,2115
1778922342703,2542,1,30,30,1101,29.80392156862745,20.134,145,13826,8151,805,930,2542,2115
1778922343208,2542,1,30,30,1100,29.80392156862745,20.122,145,13826,8151,805,930,2542,2115
1778922343713,2542,1,30,30,1099,29.80392156862745,20.154,145,13826,8151,805,930,2542,2115
1778922344218,2542,1,30,30,1099,29.80392156862745,20.182,145,13826,8151,805,930,2542,2115
1778922344723,2542,1,30,30,1099,29.80392156862745,20.153,145,13826,8151,805,930,2542,2115
1778922345226,2542,1,30,30,1100,29.80392156862745,20.131,145,13826,8151,805,930,2542,2115
1778922345731,2542,1,30,30,1100,29.80392156862745,20.084,145,13826,8151,805,930,2542,2115
1778922346236,2542,1,30,30,1101,29.80392156862745,20.08,145,13826,8151,805,930,2542,2115
